Station,Max (mm)
ISANTO80,450.84999999999997
ISANTO34,434.848
ISANTO159,410.2099999999999
ISANTO283,353.06
ISANTO226,320.294
ISANTO293,299.72
ISANTO229,294.64
ISANTO17,255.524
ISANTO121,248.158
ISANTO294,227.584
IPEDRO2,218.43999999999997
