id_estacion,coord,lat,lon
INATIONA8,"18.481° N, 69.953° W",18.481000900268555,-69.9530029296875
ISANTO34,"18.449° N, 69.963° W",18.448999404907227,-69.96299743652344
ISANTO80,"18.498° N, 69.947° W",18.49799919128418,-69.9469985961914
ISANTO121,"18.462° N, 69.912° W",18.461999893188477,-69.91200256347656
ISANTO159,"18.481° N, 69.942° W",18.481000900268555,-69.94200134277344
ISANTO17,"18.452° N, 69.941° W",18.45199966430664,-69.94100189208984
ISANTO218,"18.5° N, 69.942° W",18.5,-69.94200134277344
ISANTO294,"18.444° N, 69.956° W",18.444000244140625,-69.95600128173828
ISANTO283,"18.439° N, 69.977° W",18.43899917602539,-69.97699737548828
ISANTO226,"18.45° N, 69.977° W",18.450000762939453,-69.97699737548828
ISANTO229,"18.494° N, 69.925° W",18.493999481201172,-69.92500305175781
ISANTO257,"18.485° N, 69.828° W",18.485000610351562,-69.8280029296875
ISANTO293,"18.535° N, 69.842° W",18.53499984741211,-69.84200286865234
IPEDRO2,"18.555° N, 70.047° W",18.55500030517578,-70.0469970703125
